USPS Zip Code,Parent Zip Code,Zip City,County,State
77000,77000,3-Digit Zip in Harris,Harris,TX
77001,77002,Houston,Harris,TX
77002,77002,Houston,Harris,TX
77052,77002,Houston,Harris,TX
77097,77002,Houston,Harris,TX
77201,77002,Houston,Harris,TX
77203,77002,Houston,Harris,TX
77208,77002,Houston,Harris,TX
77209,77002,Houston,Harris,TX
77210,77002,Houston,Harris,TX
77212,77002,Houston,Harris,TX
77214,77002,Houston,Harris,TX
77246,77002,Houston,Harris,TX
77247,77002,Houston,Harris,TX
77250,77002,Houston,Harris,TX
77252,77002,Houston,Harris,TX
77253,77002,Houston,Harris,TX
77260,77002,Houston,Harris,TX
77270,77002,Houston,Harris,TX
77276,77002,Houston,Harris,TX
77278,77002,Houston,Harris,TX
77285,77002,Houston,Harris,TX
77286,77002,Houston,Harris,TX
77294,77002,Houston,Harris,TX
77296,77002,Houston,Harris,TX
77297,77002,Houston,Harris,TX
77298,77002,Houston,Harris,TX
77003,77003,Houston,Harris,TX
77004,77004,Houston,Harris,TX
77204,77004,Houston,Harris,TX
77288,77004,Houston,Harris,TX
77005,77005,Houston,Harris,TX
77265,77005,Houston,Harris,TX
77006,77006,Houston,Harris,TX
77266,77006,Houston,Harris,TX
77007,77007,Houston,Harris,TX
77299,77007,Houston,Harris,TX
77008,77008,Houston,Harris,TX
77248,77008,Houston,Harris,TX
77009,77009,Houston,Harris,TX
77249,77009,Houston,Harris,TX
77010,77010,Houston,Harris,TX
77011,77011,Houston,Harris,TX
77012,77012,Houston,Harris,TX
77262,77012,Houston,Harris,TX
77013,77013,Houston,Harris,TX
77213,77013,Houston,Harris,TX
77229,77013,Houston,Harris,TX
77014,77014,Houston,Harris,TX
77202,77014,Houston,Harris,TX
77268,77014,Houston,Harris,TX
77290,77014,Houston,Harris,TX
77015,77015,Houston,Harris,TX
77016,77016,Houston,Harris,TX
77017,77017,Houston,Harris,TX
77217,77017,Houston,Harris,TX
77261,77017,Houston,Harris,TX
77287,77017,Houston,Harris,TX
77018,77018,Houston,Harris,TX
77206,77018,Houston,Harris,TX
77292,77018,Houston,Harris,TX
77019,77019,Houston,Harris,TX
77219,77019,Houston,Harris,TX
77020,77020,Houston,Harris,TX
77220,77020,Houston,Harris,TX
77021,77021,Houston,Harris,TX
77221,77021,Houston,Harris,TX
77022,77022,Houston,Harris,TX
77222,77022,Houston,Harris,TX
77023,77023,Houston,Harris,TX
77223,77023,Houston,Harris,TX
77024,77024,Houston,Harris,TX
77025,77025,Houston,Harris,TX
77225,77025,Houston,Harris,TX
77026,77026,Houston,Harris,TX
77226,77026,Houston,Harris,TX
77027,77027,Houston,Harris,TX
77227,77027,Houston,Harris,TX
77256,77027,Houston,Harris,TX
77277,77027,Houston,Harris,TX
77028,77028,Houston,Harris,TX
77029,77029,Houston,Harris,TX
77030,77030,Houston,Harris,TX
77211,77030,Houston,Harris,TX
77031,77031,Houston,Harris,TX
77032,77032,Houston,Harris,TX
77205,77032,Houston,Harris,TX
77315,77032,Houston,Harris,TX
77033,77033,Houston,Harris,TX
77034,77034,Houston,Harris,TX
77216,77034,Houston,Harris,TX
77035,77035,Houston,Harris,TX
77231,77035,Houston,Harris,TX
77235,77035,Houston,Harris,TX
77036,77036,Houston,Harris,TX
77236,77036,Houston,Harris,TX
77237,77036,Houston,Harris,TX
77251,77036,Houston,Harris,TX
77037,77037,Houston,Harris,TX
77038,77038,Houston,Harris,TX
77039,77039,Houston,Harris,TX
77040,77040,Houston,Harris,TX
77240,77040,Houston,Harris,TX
77241,77040,Houston,Harris,TX
77041,77041,Houston,Harris,TX
77042,77042,Houston,Harris,TX
77215,77042,Houston,Harris,TX
77043,77043,Houston,Harris,TX
77044,77044,Houston,Harris,TX
77045,77045,Houston,Harris,TX
77046,77046,Houston,Harris,TX
77047,77047,Houston,Harris,TX
77048,77048,Houston,Harris,TX
77049,77049,Houston,Harris,TX
77050,77050,Houston,Harris,TX
77051,77051,Houston,Harris,TX
77233,77051,Houston,Harris,TX
77053,77053,Houston,Fort Bend,TX
77054,77054,Houston,Harris,TX
77230,77054,Houston,Harris,TX
77254,77054,Houston,Harris,TX
77055,77055,Houston,Harris,TX
77243,77055,Houston,Harris,TX
77255,77055,Houston,Harris,TX
77056,77056,Houston,Harris,TX
77057,77057,Houston,Harris,TX
77257,77057,Houston,Harris,TX
77058,77058,Houston,Harris,TX
77059,77059,Houston,Harris,TX
77060,77060,Houston,Harris,TX
77232,77060,Houston,Harris,TX
77061,77061,Houston,Harris,TX
77207,77061,Houston,Harris,TX
77062,77062,Houston,Harris,TX
77258,77062,Houston,Harris,TX
77259,77062,Houston,Harris,TX
77289,77062,Houston,Harris,TX
77063,77063,Houston,Harris,TX
77281,77063,Houston,Harris,TX
77064,77064,Houston,Harris,TX
77065,77065,Houston,Harris,TX
77066,77066,Houston,Harris,TX
77067,77067,Houston,Harris,TX
77267,77067,Houston,Harris,TX
77068,77068,Houston,Harris,TX
77069,77069,Houston,Harris,TX
77070,77070,Houston,Harris,TX
77269,77070,Houston,Harris,TX
77071,77071,Houston,Harris,TX
77263,77071,Houston,Harris,TX
77271,77071,Houston,Harris,TX
77072,77072,Houston,Harris,TX
77272,77072,Houston,Harris,TX
77073,77073,Houston,Harris,TX
77074,77074,Houston,Harris,TX
77274,77074,Houston,Harris,TX
77075,77075,Houston,Harris,TX
77234,77075,Houston,Harris,TX
77275,77075,Houston,Harris,TX
77076,77076,Houston,Harris,TX
77077,77077,Houston,Harris,TX
77242,77077,Houston,Harris,TX
77244,77077,Houston,Harris,TX
77282,77077,Houston,Harris,TX
77078,77078,Houston,Harris,TX
77228,77078,Houston,Harris,TX
77079,77079,Houston,Harris,TX
77224,77079,Houston,Harris,TX
77279,77079,Houston,Harris,TX
77080,77080,Houston,Harris,TX
77280,77080,Houston,Harris,TX
77081,77081,Houston,Harris,TX
77082,77082,Houston,Harris,TX
77083,77083,Houston,Harris,TX
77084,77084,Houston,Harris,TX
77284,77084,Houston,Harris,TX
77085,77085,Houston,Harris,TX
77086,77086,Houston,Harris,TX
77087,77087,Houston,Harris,TX
77088,77088,Houston,Harris,TX
77238,77088,Houston,Harris,TX
77089,77089,Houston,Harris,TX
77245,77089,Houston,Harris,TX
77090,77090,Houston,Harris,TX
77273,77090,Houston,Harris,TX
77091,77091,Houston,Harris,TX
77291,77091,Houston,Harris,TX
77293,77091,Houston,Harris,TX
77092,77092,Houston,Harris,TX
77093,77093,Houston,Harris,TX
77094,77094,Houston,Harris,TX
77218,77094,Houston,Harris,TX
77095,77095,Houston,Harris,TX
77096,77096,Houston,Harris,TX
77098,77098,Houston,Harris,TX
77099,77099,Houston,Harris,TX
77411,77099,Houston,Harris,TX
77300,77300,"3-Digit Zip in Montgomery, Har",Harris,TX
77301,77301,Conroe,Montgomery,TX
77305,77301,Conroe,Montgomery,TX
77302,77302,Conroe,Montgomery,TX
77303,77303,Conroe,Montgomery,TX
77304,77304,Conroe,Montgomery,TX
77306,77306,Conroe,Montgomery,TX
77316,77316,Montgomery,Montgomery,TX
77318,77318,Willis,Montgomery,TX
77320,77320,Huntsville,Walker,TX
77334,77320,Huntsville,Walker,TX
77342,77320,Huntsville,Walker,TX
77343,77320,Huntsville,Walker,TX
77344,77320,Huntsville,Walker,TX
77349,77320,Huntsville,Walker,TX
77367,77320,Huntsville,Walker,TX
77327,77327,Cleveland,Liberty,TX
77368,77327,Cleveland,Liberty,TX
77369,77327,Cleveland,Liberty,TX
77328,77328,Cleveland,Montgomery,TX
77331,77331,Coldspring,San Jacinto,TX
77336,77336,Huffman,Harris,TX
77338,77338,Humble,Harris,TX
77347,77338,Humble,Harris,TX
77325,77339,Kingwood,Harris,TX
77339,77339,Kingwood,Harris,TX
77340,77340,Huntsville,Walker,TX
77341,77340,Huntsville,Walker,TX
77348,77340,Huntsville,Walker,TX
77345,77345,Kingwood,Harris,TX
77346,77346,Humble,Harris,TX
77354,77354,Magnolia,Montgomery,TX
77353,77355,Magnolia,Montgomery,TX
77355,77355,Magnolia,Montgomery,TX
77333,77356,Montgomery,Montgomery,TX
77356,77356,Montgomery,Montgomery,TX
77357,77357,New Caney,Montgomery,TX
77358,77358,New Waverly,Walker,TX
77359,77359,Oakhurst,San Jacinto,TX
77362,77362,Pinehurst,Montgomery,TX
77364,77364,Pointblank,San Jacinto,TX
77365,77365,Porter,Montgomery,TX
77371,77371,Shepherd,San Jacinto,TX
77372,77372,Splendora,Montgomery,TX
77373,77373,Spring,Harris,TX
77337,77375,Tomball,Harris,TX
77375,77375,Tomball,Harris,TX
77377,77377,Tomball,Harris,TX
77378,77378,Willis,Montgomery,TX
77379,77379,Spring,Harris,TX
77383,77379,Spring,Harris,TX
77391,77379,Spring,Harris,TX
77380,77380,Spring,Montgomery,TX
77387,77380,Spring,Montgomery,TX
77381,77381,Spring,Montgomery,TX
77393,77381,Spring,Montgomery,TX
77382,77382,Spring,Montgomery,TX
77384,77384,Conroe,Montgomery,TX
77385,77385,Conroe,Montgomery,TX
77386,77386,Spring,Montgomery,TX
77388,77388,Spring,Harris,TX
77389,77389,Spring,Harris,TX
77396,77396,Humble,Harris,TX
77400,77400,"3-Digit Zip in Harris, Fort Be",Fort Bend,TX
77401,77401,Bellaire,Harris,TX
77402,77401,Bellaire,Harris,TX
77406,77406,Richmond,Fort Bend,TX
77407,77407,Richmond,Fort Bend,TX
77417,77417,Beasley,Fort Bend,TX
77451,77417,Beasley,Fort Bend,TX
77418,77418,Bellville,Austin,TX
77452,77418,Bellville,Austin,TX
77420,77420,Boling,Wharton,TX
77462,77420,Boling,Wharton,TX
77422,77422,Brazoria,Brazoria,TX
77423,77423,Brookshire,Waller,TX
77466,77423,Brookshire,Waller,TX
77410,77429,Cypress,Harris,TX
77429,77429,Cypress,Harris,TX
77430,77430,Damon,Brazoria,TX
77431,77430,Damon,Brazoria,TX
77433,77433,Cypress,Harris,TX
77435,77435,East Bernard,Wharton,TX
77436,77435,East Bernard,Wharton,TX
77443,77435,East Bernard,Wharton,TX
77448,77435,East Bernard,Wharton,TX
77454,77435,East Bernard,Wharton,TX
77432,77437,El Campo,Wharton,TX
77437,77437,El Campo,Wharton,TX
77467,77437,El Campo,Wharton,TX
77441,77441,Fulshear,Fort Bend,TX
77444,77444,Guy,Fort Bend,TX
77445,77445,Hempstead,Waller,TX
77851,77445,Hempstead,Waller,TX
77447,77447,Hockley,Harris,TX
77449,77449,Katy,Harris,TX
77491,77449,Katy,Harris,TX
77450,77450,Katy,Harris,TX
77455,77455,Louise,Wharton,TX
77459,77459,Missouri City,Fort Bend,TX
77461,77461,Needville,Fort Bend,TX
77421,77469,Richmond,Fort Bend,TX
77469,77469,Richmond,Fort Bend,TX
77481,77469,Richmond,Fort Bend,TX
77464,77471,Rosenberg,Fort Bend,TX
77471,77471,Rosenberg,Fort Bend,TX
77473,77474,Sealy,Austin,TX
77474,77474,Sealy,Austin,TX
77477,77477,Stafford,Fort Bend,TX
77497,77477,Stafford,Fort Bend,TX
77478,77478,Sugar Land,Fort Bend,TX
77487,77478,Sugar Land,Fort Bend,TX
77479,77479,Sugar Land,Fort Bend,TX
77496,77479,Sugar Land,Fort Bend,TX
77463,77480,Sweeny,Brazoria,TX
77480,77480,Sweeny,Brazoria,TX
77446,77484,Waller,Waller,TX
77484,77484,Waller,Waller,TX
77476,77485,Wallis,Fort Bend,TX
77485,77485,Wallis,Fort Bend,TX
77486,77486,West Columbia,Brazoria,TX
77453,77488,Wharton,Wharton,TX
77488,77488,Wharton,Wharton,TX
77489,77489,Missouri City,Fort Bend,TX
77413,77493,Katy,Harris,TX
77492,77493,Katy,Harris,TX
77493,77493,Katy,Harris,TX
77494,77494,Katy,Fort Bend,TX
77498,77498,Sugar Land,Fort Bend,TX
77500,77500,"3-Digit Zip in Harris, Galvest",Harris,TX
77502,77502,Pasadena,Harris,TX
77503,77503,Pasadena,Harris,TX
77504,77504,Pasadena,Harris,TX
77505,77505,Pasadena,Harris,TX
77508,77505,Pasadena,Harris,TX
77501,77506,Pasadena,Harris,TX
77506,77506,Pasadena,Harris,TX
77507,77507,Pasadena,Harris,TX
77510,77510,Santa Fe,Galveston,TX
77511,77511,Alvin,Brazoria,TX
77512,77511,Alvin,Brazoria,TX
77514,77514,Anahuac,Chambers,TX
77579,77514,Anahuac,Chambers,TX
77515,77515,Angleton,Brazoria,TX
77516,77515,Angleton,Brazoria,TX
77517,77517,Santa Fe,Galveston,TX
77518,77518,Bacliff,Galveston,TX
77520,77520,Baytown,Harris,TX
77521,77521,Baytown,Harris,TX
77522,77521,Baytown,Harris,TX
77523,77523,Baytown,Chambers,TX
77580,77523,Baytown,Chambers,TX
77530,77530,Channelview,Harris,TX
77531,77531,Clute,Brazoria,TX
77532,77532,Crosby,Harris,TX
77534,77534,Danbury,Brazoria,TX
77535,77535,Dayton,Liberty,TX
77536,77536,Deer Park,Harris,TX
77538,77538,Devers,Liberty,TX
77539,77539,Dickinson,Galveston,TX
77541,77541,Freeport,Brazoria,TX
77542,77541,Freeport,Brazoria,TX
77545,77545,Fresno,Fort Bend,TX
77546,77546,Friendswood,Galveston,TX
77549,77546,Friendswood,Galveston,TX
77547,77547,Galena Park,Harris,TX
77550,77550,Galveston,Galveston,TX
77553,77550,Galveston,Galveston,TX
77555,77550,Galveston,Galveston,TX
77551,77551,Galveston,Galveston,TX
77552,77551,Galveston,Galveston,TX
77554,77554,Galveston,Galveston,TX
77560,77560,Hankamer,Chambers,TX
77562,77562,Highlands,Harris,TX
77563,77563,Hitchcock,Galveston,TX
77533,77564,Hull,Liberty,TX
77564,77564,Hull,Liberty,TX
77565,77565,Kemah,Galveston,TX
77566,77566,Lake Jackson,Brazoria,TX
77568,77568,La Marque,Galveston,TX
77571,77571,La Porte,Harris,TX
77572,77571,La Porte,Harris,TX
77573,77573,League City,Galveston,TX
77574,77573,League City,Galveston,TX
77561,77575,Liberty,Liberty,TX
77575,77575,Liberty,Liberty,TX
77582,77575,Liberty,Liberty,TX
77577,77577,Liverpool,Brazoria,TX
77578,77578,Manvel,Brazoria,TX
77581,77581,Pearland,Brazoria,TX
77588,77581,Pearland,Brazoria,TX
77583,77583,Rosharon,Brazoria,TX
77584,77584,Pearland,Brazoria,TX
77586,77586,Seabrook,Harris,TX
77587,77587,South Houston,Harris,TX
77590,77590,Texas City,Galveston,TX
77592,77590,Texas City,Galveston,TX
77591,77591,Texas City,Galveston,TX
77597,77597,Wallisville,Chambers,TX
77598,77598,Webster,Harris,TX
77617,77650,Port Bolivar,Galveston,TX
77623,77650,Port Bolivar,Galveston,TX
77650,77650,Port Bolivar,Galveston,TX
77661,77665,Winnie,Chambers,TX
77665,77665,Winnie,Chambers,TX
77873,77873,Richards,Montgomery,TX
78931,78931,Bleiblerville,Austin,TX
78944,78944,Industry,Austin,TX
78950,78950,New Ulm,Austin,TX
